NOP;00;1
LD BC,NN;01nn;3
LD (BC),A;02;1
INC BC;03;1
INC B;04;1
DEC B;05;1
LD B,N;06n;2
RLCA;07;1
EX AF,AF';08;1
ADD HL,BC;09;1
LD A,(BC);0A;1
DEC BC;0B;1
INC C;0C;1
DEC C;0D;1
LD C,N;0En;2
RRCA;0F;1
DJNZD;10d-$-2;2
LD DE,NN;11nn;3
LD (DE),A;12;1
INC DE;13;1
INC D;14;1
DEC D;15;1
LD D,N;16n;2
RLA;17;1
JRD;18d-$-2;2
ADD HL,DE;19;1
LD A,(DE);1A;1
DEC DE;1B;1
INC E;1C;1
DEC E;1D;1
LD E,N;1En;2
RRA;1F;1
JR NZ,D;20d-$-2;2
LD HL,NN;21nn;3
LD (NN),HL;22nn;3
INC HL;23;1
INC H;24;1
DEC H;25;1
LD H,N;26n;2
DAA;27;1
JR Z,D;28d-$-2;2
ADD HL,HL;29;1
LD HL,(NN);2Ann;3
DEC HL;2B;1
INC L;2C;1
DEC L;2D;1
LD L,N;2En;2
CPL;2F;1
JR NC,D;30d-$-2;2
LD SP,NN;31nn;3
LD (NN),A;32nn;3
INC SP;33;1
INC (HL);34;1
DEC (HL);35;1
LD (HL),N;36n;2
SCF;37;1
JR C,D;38d-$-2;2
ADD HL,SP;39;1
LD A,(NN);3Ann;3
DEC SP;3B;1
INC A;3C;1
DEC A;3D;1
LD A,N;3En;2
CCF;3F;1
LD B,B;40;1
LD B,C;41;1
LD B,D;42;1
LD B,E;43;1
LD B,H;44;1
LD B,L;45;1
LD B,(HL);46;1
LD B,A;47;1
LD C,B;48;1
LD C,C;49;1
LD C,D;4A;1
LD C,E;4B;1
LD C,H;4C;1
LD C,L;4D;1
LD C,(HL);4E;1
LD C,A;4F;1
LD D,B;50;1
LD D,C;51;1
LD D,D;52;1
LD D,E;53;1
LD D,H;54;1
LD D,L;55;1
LD D,(HL);56;1
LD D,A;57;1
LD E,B;58;1
LD E,C;59;1
LD E,D;5A;1
LD E,E;5B;1
LD E,H;5C;1
LD E,L;5D;1
LD E,(HL);5E;1
LD E,A;5F;1
LD H,B;60;1
LD H,C;61;1
LD H,D;62;1
LD H,E;63;1
LD H,H;64;1
LD H,L;65;1
LD H,(HL);66;1
LD H,A;67;1
LD L,B;68;1
LD L,C;69;1
LD L,D;6A;1
LD L,E;6B;1
LD L,H;6C;1
LD L,L;6D;1
LD L,(HL);6E;1
LD L,A;6F;1
LD (HL),B;70;1
LD (HL),C;71;1
LD (HL),D;72;1
LD (HL),E;73;1
LD (HL),H;74;1
LD (HL),L;75;1
HALT;76;1
LD (HL),A;77;1
LD A,B;78;1
LD A,C;79;1
LD A,D;7A;1
LD A,E;7B;1
LD A,H;7C;1
LD A,L;7D;1
LD A,(HL);7E;1
LD A,A;7F;1
ADD A,B;80;1
ADD A,C;81;1
ADD A,D;82;1
ADD A,E;83;1
ADD A,H;84;1
ADD A,L;85;1
ADD A,(HL);86;1
ADD A,A;87;1
ADC A,B;88;1
ADC A,C;89;1
ADC A,D;8A;1
ADC A,E;8B;1
ADC A,H;8C;1
ADC A,L;8D;1
ADC A,(HL);8E;1
ADC A,A;8F;1
SUB B;90;1
SUB C;91;1
SUB D;92;1
SUB E;93;1
SUB H;94;1
